nickName,cityName,score,content,startTime
包子王子,合肥,3.5,典型的RPG剧情，主角光环太强，很多剧情太突兀。,2018-12-08 10:12:14
EAE360511111,上海,5.0,真的是大片，效果很好，最近看的电影里面最满意的一次,2018-12-08 10:12:10
Mark,重庆,5.0,18年不能错过的科幻大片,2018-12-08 10:12:02
mbZ719845660,广州,5.0,仔超帅女靓特效正有水是好重要的,2018-12-08 10:11:52
海俊,北京,5.0,没有阿凡达好吧,2018-12-08 10:11:01
tLG926256722,大连,4.5,挺好看的，和老公一起去的，本来没想看电影，好多人排队，就进去了看了，还不错，视觉盛宴，原来海洋世界这么美，还想看，推荐指数5颗星。支持温子仁，华裔导演，电锯惊魂原来是他导演的，真的很好看。,2018-12-08 10:10:56
RKC609003486,海宁,5.0,好看，爆米花电影院合格,2018-12-08 10:10:26
何易霖,广州,5.0,不错，剧情丰富，特效很棒，风景如画,2018-12-08 10:10:19
y_a9637,南京,5.0,看海王让你见神奇的海底世界，七海之王亚瑟🐴马王。,2018-12-08 10:10:17
泪梦霖,上海,4.5,DC的一部不错的电影，虽然整片没有其他英雄的出现，不过整体下来不论气势还是人物都蛮好的。几个镜头颇有恐怖片的感觉。,2018-12-08 10:10:15
OOL341608848,新郑,5.0,冲着温子仁看，结果大大超出预期。没有想到居然get到了弟弟的美貌，招魂里面明明一脸反派样没这么美啊,2018-12-08 10:10:11
_qq68n1425484058,泸州,5.0,最好看的DC,2018-12-08 10:10:07
NLb580373811,武汉,5.0,强烈推荐！这是2018年不能错过的大片！,2018-12-08 10:10:00
Gracie月半猴,青岛,5.0,昨晚看的特别爽！啧啧啧，身临其境，进行了一次海底的奇幻之旅，视觉和听觉都很有冲击力，特别震撼。作为颜控妥妥滴被女主的颜值迷住了，有机会一定要再补一次IMAX，第二排这个脖子要断了哈哈哈～,2018-12-08 10:09:58
DU0987654321,贵阳,5.0,喜欢海王的勇气勇敢智慧,2018-12-08 10:09:58
南极 あ  怪,清远,4.5,最后是铠甲勇士？,2018-12-08 10:09:58
99977,深圳,5.0,阿古man 666666,2018-12-08 10:09:46
wuxx0574,宁波,4.5,还可以吧，自从拍了阿凡达，3D就没停过，这部片子也就是看个3D的热闹。,2018-12-08 10:09:43
杨云,青岛,5.0,恢弘的海底世界观设定，科技感十足的深海大战，刺激的西西里追逐，正义的伙伴、智慧的父亲与聪慧的女性伴侣这种经典搭配，《海王》真是一部十分完美的大片。,2018-12-08 10:09:21
smile猫男,宁波,4.0,还是阿凡达的特效牛逼 这不也不错 只能排在他身后,2018-12-08 10:09:21
G1999.777,江油,5.0,剧情还是可以，,2018-12-08 10:09:08
果卷子,东莞,4.5,收尾出戏，前期很棒,2018-12-08 10:08:56
wnf793044025,重庆,4.5,是真的好看，里面的打斗场景简直酷毙了。亚瑟帅！,2018-12-08 10:08:45
YX58168,无锡,4.5,拍的还行，场面蛮大的,2018-12-08 10:08:37
唐子鹏,重庆,5.0,牛逼，震撼，近些年看过最好的电影,2018-12-08 10:08:31
WWd355170512,长沙,4.5,这部电影一如速度7证明了温子仁作为导演的实力，他不仅仅会讲恐怖故事，还能拍出海王背后真实的故事，特效也是中国电影需要学习的地方，虽然刚来时觉得电影缺乏内涵，立意不深并不想打高分。但奈何整体完成度很高，几乎没有太多可以挑剔的地方，因此给予优秀的评价,2018-12-08 10:08:28
FJz32092799,自贡,4.0,画面可以，情节一般,2018-12-08 10:08:17
真好,锦州,5.0,太赞！还要看!,2018-12-08 10:08:10
HXY674333753,东莞,5.0,画面很震撼！,2018-12-08 10:08:10
「业小强,南宁,5.0,我失恋了💔,2018-12-08 10:08:04
妖，3567,兰州,5.0,好看，特效简直了，值得观看,2018-12-08 10:08:03
童,天津,4.5,拍的挺好的爆米花电影，一如既往的发挥,2018-12-08 10:07:17
房裕薪,哈尔滨,5.0,很帅很刺激 看了就知道了,2018-12-08 10:06:50
sia433910874,郑州,5.0,还好还好哈哈哈哈,2018-12-08 10:06:46
sia433910874,郑州,5.0,还好还好哈哈哈哈,2018-12-08 10:06:46
蓄,成都,4.0,看特效还是可以看的,2018-12-08 10:06:39
奔跑吧丶逗b,呼和浩特,4.0,还行吧，特效也还行，剧情比较古老那种，还是有看头的。,2018-12-08 10:06:35
DPF912709045,哈尔滨,5.0,超级好看，不愧是鬼才导演，场面宏大，剧情紧凑！,2018-12-08 10:06:34
大眼萌,常州,4.5,DC继神奇女侠后的又一力作，恐怖片之王温子仁继速度与激情7之后又一转型之作👍 ,2018-12-08 10:06:31
Super施施,抚顺,4.0,挺好的，剧情一般,2018-12-08 10:06:29
逍遥法师,张家港,5.0,场景壮观绚丽。,2018-12-08 10:06:29
袋鼠,齐齐哈尔,5.0,故事情节满意！内容丰富！特效完美！钱花的值！,2018-12-08 10:06:11
mean it,北京,0.5,这有什么好看的，老套剧情，老套动作，太能炒了,2018-12-08 10:06:05
siriusxl,北京,4.0,视觉效果超群,2018-12-08 10:05:46
wXV967607087,南京,5.0,从众多小鱼们游出来，找到了妈妈～  但是酷的bro，特效满分,2018-12-08 10:05:37
vipGDRAON,莆田,5.0,特别好看，很科幻，真的值得观看,2018-12-08 10:05:34
嘉文,湛江,5.0,非常好看的电影！！！,2018-12-08 10:05:31
TNY406255160,深圳,5.0,非常好看，很暖心的！,2018-12-08 10:05:28
山冈1983,太原,5.0,好看到炸裂！上映前已充满期待，观看后更是远超出想象，这是一场无与伦比的视听盛宴，满足你对感官享受的所有期望。神奇瑰丽的海底王国，奇特壮观的海洋大军，丰富而不复杂的剧情，紧张而精彩的打斗场面，令人意犹未尽，十分满足。《海王》完全可以说是目前所有超级英雄单人影片里拍的最好看的。温子仁果然是一位天才导演。,2018-12-08 10:05:24
KIW849098771,成都,4.5,好看。剧情饱满，特效非常棒！,2018-12-08 10:05:18
Yuwulin828,宁乡,5.0,温子仁导演的作品从未让人失望过。场景的制作，视觉效果都非常棒！虽然寻宝的过程有点俗套，但最后一段海底大战还是弥补了这一缺陷。值得一看！,2018-12-08 10:04:54
当我看透了这一切,成都,5.0,超级超级好看,2018-12-08 10:04:04
小军军。，,佛山,5.0,还不错，挺好的,2018-12-08 10:03:06
Helen,贵阳,4.5,感觉情节比较简单，，总体来说还行,2018-12-08 10:03:01
IqB867374937,东莞,5.0,好看好看好看好看好看,2018-12-08 10:02:58
bYp465247972,厦门,4.5,今年大片里仅次于头号玩家,2018-12-08 10:02:58
hui32660354,襄阳,5.0,剧情好看，画面好，,2018-12-08 10:02:30
sumy2012,常州,5.0,"董永七仙女之恋，诞下天赋异禀之子，狂拽霸气结下梁子，（尿性套路回头救出海盗爹，然而海王并没有）灵力30%挑战血统弟弟，能屈能伸撤退（尿性套路“我不走，我还能打，你别管我”），开启寻宝之路，半路被仇家一顿胖揍，强冲蛮夷之地母子重逢（尿性套路“你二十多年来对我们父子不闻不问我恨你🙄 🙄 🙄 ”），天赋降服千年神兽，穿戴黄金圣衣手持黄金玛莎拉蒂暴力制止战争，神装单挑亲弟，称王！
结局:海王父母鹊桥相会。

剧情，节奏快，不瞌睡，特效不打折，推荐看。",2018-12-08 10:02:00
michelruby,重庆,4.5,电影很好看，建议不要去华谊兄弟看，效果不好，3D眼镜不清晰！屏幕不够清楚！,2018-12-08 10:01:59
奚大大520,大丰,5.0,非常非常好看  给101分 还有1分给你 怕你不骄傲,2018-12-08 10:01:58
xzV617040400,武汉,5.0,无敌了哈哈哈,2018-12-08 10:01:41
rGl493775709,长清区,5.0,你根本就想不到温子仁拍了什么，只能用精彩形容,2018-12-08 10:01:27
hcT290378438,张家港,5.0,非常好看，值回票价,2018-12-08 10:01:27
zjlcmpg,温州,5.0,好评好评好评,2018-12-08 10:01:14
尖尖782,乐山,5.0,画面超美。震撼,2018-12-08 10:01:01
董丹尼361,深圳,5.0,事实证明了影片好不好看跟题材演员剧情关系不大。。。还是要看导演啊,2018-12-08 10:00:30
传凯呀！,长清区,4.0,怎么说呢，没有达到预想的多么震撼吧，但是当海王拿起三叉戟🔱的时候确实震撼到我了……,2018-12-08 10:00:06
阿噗小怪兽,南昌,5.0,可以说是非常震撼了！海底的特效，以及故事情节都非常完美！,2018-12-08 09:59:47
GdH1107688,海口,4.5,啦啦啦啦144,2018-12-08 09:59:46
西梅640,唐山,4.0,剧情相对来说比较丰富，但是主角光环太强了，那个海盗是在cos蚂蚁吗？！然后那个公主颜值真扛打，好看死了，海王最后拿到亚特兰蒂斯的三叉戟的装扮，扔三叉戟的时候有点像闰土哈哈哈哈哈哈哈,2018-12-08 09:59:45
seraphic520,东莞,4.5,不错，很好，喜欢,2018-12-08 09:59:11
小贺,濮阳,4.5,整个剧情还是很完整的，特效实在是太好了，打的很燃，好看,2018-12-08 09:59:11
